meaning_ru,id,Bagvalal (Magomedova 2004),Bagvalal (Magomedova 2004) bor,"Botlikh (Saidova, Abusov 2012)","Botlikh (Saidova, Abusov 2012) bor",Godoberi (Saidova 2006),Godoberi (Saidova 2006) bor,"Karata-Tukita (Magomedova, Khalidova 2001)","Karata-Tukita (Magomedova, Khalidova 2001) bor",Botlikh (Alekseev 2006),Botlikh (Alekseev 2006) bor,"Akhvakh (Magomedova, Abdulayeva 2007)","Akhvakh (Magomedova, Abdulayeva 2007) bor",Andi (Salimov 2010),Andi (Salimov 2010) bor,"Tokita (Magomedova, Khalidova 2001)","Tokita (Magomedova, Khalidova 2001) bor",Chamalal (Magomedova 1999),Chamalal (Magomedova 1999) bor,Tindi (Magomedova 2003),Tindi (Magomedova 2003) bor,n_languages
звукоподражание шуму маленькой струйки воды,1,,,,,ЗУНЗУСИ́,native,,,,,,,,,,,,,,,1
звукоподражание шуму от быстрого высыпания сена,1,,,,,,,,,,,,,,,,,ХВАРЛI,native,,,1
звукоподражание шуму падающей посуды,1,,,,,ЗВÁРГЪИ,native,,,,,,,,,,,,,,,1
звукоподражание шуму падающей пустой посудины,1,,,,,,,,,,,,,,,,,ГВАРГЪ,native,,,1
звукоподражание шуму падающих предметов больших размеров,1,,,,,,,ДВА'РГЪИ,native,,,,,,,,,,,,,1
звукоподражание шуму падения в воду плашмя,1,ЧВАП,native,,,,,,,,,,,,,,,,,,,1
звукоподражание шуму провалившегося в снег предмета,1,,,,,ТВÁЩИЛЪИ,native,,,,,,,,,,,,,,,1
звукоподражание шуму развевающейся ткани,1,,,,,ПАРПÁДИ,native,,,,,,,,,,,,,,,1
звукоподражание шуршанью сыпучих,1,,,,,,,,,,,,,,,,,,,ШВАР-ШВÁР,native,1
звукоподражание шушуканью,1,ШУ–Ш́УР,native,,,,,,,,,,,,,,,,,,,1
звукоподражание щебету,1,,,,,,,,,,,чIичIи'ре,native,,,,,,,,,1
звучание при жарении,1,,,,,,,,,,,,,ТУЩЕШОР,native,,,,,,,1
звучать,1,,,,,,,,,,,,,ТУЩУННУ,native,,,,,,,1
"звучать, звенеть, стучать",2,,,,,,,,,,,,,ЗИНКЬУННУ,native,,,,,,,1
звучит,1,,,,,,,,,,,,,ТУЩЕШДУ,native,,,,,,,1
звякать,1,,,,,,,,,,,зва'хъу/рулъIа,native,,,,,,,,,1
зги,1,,,,,,,,,кIи́ччу,native,,,,,,,,,,,1
здание,2,,,мин/а́,native,,,,,,,,,,,,,,,,,1
здание суда,1,,,,,,,,,,,,,ДИВАНХАНА,native,,,,,,,1
"здание, жилище, строение, хоромы, чертог",1,,,,,,,,,,,,,МИНА,native,,,,,,,1
здесь,4,,,,,,,,,,,,,,,,,А̅ᴴ,native,,,1
здешние цены,1,,,,,,,,,гьа́лIассуб багьа́балъи,native,,,,,,,,,,,1
здешний,2,,,,,,,,,,,,,ГЬОНОЛЪЛЪУССИ,native,,,,,,,1
здоровенный ленивец,1,ДАЖÁЛ/ДĀРЖÁЛ,arab,,,,,,,,,,,,,,,,,,,1
"здоровый, невредимый, солидный",1,,,,,,,,,,,,,ССАЛАМАТИ,arab,,,,,,,1
"здоровый, правильный, условный",1,,,,,,,,,,,,,САГЪИ,native,,,,,,,1
здоровяк,1,,,,,,,,,,,бугъа',native,,,,,,,,,1
"здравица, здравый тост",1,,,,,,,,,,,,,САВЛУХЪИ,native,,,,,,,1
здравствовать,1,,,,,,,,,сах в=укIи́,native,,,,,,,,,,,1
здравствуй(те),1,В/ОРЧIАМ́И,native,,,,,,,,,,,,,,,,,,,1
здравствуйте!,1,МАРХIÁБА,native,,,,,,,,,,,,,,,,,,,1
зебра,1,,,,,,,,,зе́бра,rus,,,,,,,,,,,1
зевание,1,,,,,,,,,гьагьа́ласар,native,,,,,,,,,,,1
зевать,2,,,гьаъад/и́,native,,,,,,,,,,,,,,,,,1
зевок,3,,,гьаъа́дир,native,,,,,,,,,,,,,,,,,1
"зевота, зевать",1,,,,,,,,,,,,,ГЬАКӀКӀАДУННИР,native,,,,,,,1
зеленая оболочка (грецкого ореха),1,X̄АЧ́УНА,native,,,,,,,,,,,,,,,,,,,1
зеленая скорлупа грецкого ореха,1,,,,,,,ЧУ'ᴴКУР/А,native,,,,,,,,,,,,,1
зеленая скорлупа гречкого ореха,1,,,,,,,,,,,,,,,,,ХАЧИ́М,native,,,1
зеленая слизь (на камнях),1,,,,,,,,,,,,,,,,,ХЕХИᴴ,native,,,1
зеленеть,2,,,,,,,,,,,,,,,,,АШЛЪУ̅́ЛА,native,,,1
"зеленеть, недозрелость",1,,,,,,,,,,,,,ХЪАСХЪАЛЛЪА,native,,,,,,,1
зеленить,1,,,,,,,,,,,жомо'ро̄/рулъIа,native,,,,,,,,,1
зелёнка,1,,,,,,,,,зелёнка,rus,,,,,,,,,,,1
зеленоватый,1,,,,,,,,,,,,,ХХОЧИКЪУБ,native,,,,,,,1
"зеленые водоросли, хлорелла",1,,,,,,,ЧУ'ᴴЧУРА,native,,,,,,,,,,,,,1
зеленый чай,1,,,,,,,,,,,,,,,,,,,НУГЪḖ-ЧĀЙ,native,1
"зеленый, как горящий порох",1,,,,,,,,,,,,,ЧӀИРБИКОКОССИ,native,,,,,,,1
"зеленый, как порох",1,,,,,,,,,,,,,ЧӀИРХХОЧИ,native,,,,,,,1
"зеленый, недозрелый",1,,,,,,,,,,,,,ХЪСХЪАЛ,native,,,,,,,1
зелень,2,,,,,,,,,,,,,,,,,,,ЖЍМИ,native,1
зелень (съедобная),1,ГIÁЧУЛГЬАР/ГIÁЧУГЬА/Р,native,,,,,,,,,,,,,,,,,,,1
зелье,2,,,гьу́нчI/а,native,,,,,,,,,,,,,,,,,1
землепашество,1,,,,,,,,,векьа́р,native,,,,,,,,,,,1
"землепашец, земледелец. Крестьянин",1,,,,,,,,,,,,,ВОКЬИБ,native,,,,,,,1
землетрясение,2,ГЬИГЬВÁДАР,native,,,,,,,,,,,,,,,,,,,1
землистость,1,,,,,,,,,у́нщихIалир,native,,,,,,,,,,,1
землистый,1,,,,,,,,,у́нщихIалаб,native,,,,,,,,,,,1
земля (почва),1,,,,,,,,,,,,,,,,,УᴴС,native,,,1
земля (территория),1,,,,,,,,,,,,,,,,,УᴴС,native,,,1
земля общественного пользования,1,,,,,,,,,,,хIари'ма,native,,,,,,,,,1
"земля, мир, свет",1,,,,,,,,,,,,,ДУНЙАЛ,arab,,,,,,,1
"земля, почва",1,,,,,,,УᴴЩИ',native,,,,,,,,,,,,,1
"земля, страна",1,,,,,,,,,,,,,ОНЩИ,native,,,,,,,1
"земля, суша",1,,,,,,,,,,,,,,,,,,,РАКЪДÁЛЛЪАР,native,1
"земля, территория с угодьями",1,,,,,,,УᴴЩИ',native,,,,,,,,,,,,,1
земляника,2,,,гъа́ркъи,native,,,,,,,,,,,,,,,,,1
"землянка, дом",1,,,,,,,,,,,,,ТОЛИ,native,,,,,,,1
земляной вал,1,,,,,,,,,,,,,,,,,УР,native,,,1
земляной раствор,1,,,,,,,,,,,,,,,,,,,ГЪУГЪУ́Н²,native,1
земляной цвет,1,,,,,,,,,,,,,ОНЩИЛӀИ БОСО,native,,,,,,,1
земная поверхность; грунт,1,,,,,,,ЩУ'БДА,native,,,,,,,,,,,,,1
зенит,1,,,,,,,,,зава́л,arab,,,,,,,,,,,1
зенитка,1,,,,,,,,,зени́тка,rus,,,,,,,,,,,1
зенитчик,1,,,,,,,,,зени́чик,rus,,,,,,,,,,,1
зеркальный,1,,,ма́тIулъи,native,,,,,,,,,,,,,,,,,1
зеркальный лед,1,,,,,,,ГВА'ᴴГВАᴴДО/Б,native,,,,,,,,,,,,,1
зерна,3,,,,,,,,,,,,,,,,,ХИЛВАБЕ,native,,,1
зернистость,1,,,,,,,,,гаги́балъир,native,,,,,,,,,,,1
зерно,3,,,,,,,,,,,,,,,,,,,МУ́ГЬУ,native,1
зерно (хлебное),1,,,,,,,,,,,,,МУГЬУ,native,,,,,,,1
"зерно, варенье",1,,,,,,,,,,,,,ГЪУДИ,native,,,,,,,1
"зерно, раздаваемое за искупление грехов усопшего",1,КАПÁ̄РАТ,arab,,,,,,,,,,,,,,,,,,,1
зерновой корм для лошади,1,,,,,,,,,,,,,КӀОЛЦӀИР,native,,,,,,,1
зерновые,1,,,,,,,,,урщела́лъи,native,,,,,,,,,,,1
"зернышко, зерно",1,,,,,,,МУГЬА'²,native,,,,,,,,,,,,,1
зигзагами,1,,,,,,,,,,,,,,,,,,,Г’АНÁБАЛIА,native,1
зигзагообразный,1,,,,,,,,,кIи́чIачIаб,native,,,,,,,,,,,1
зикр,2,,,ла́йла,arab,,,,,,,,,,,,,,,,,1
зимой,2,,,ццибуру́лъи,native,,,,,,,,,,,,,,,,,1
зияние,1,,,,,,,,,,,гьаме',native,,,,,,,,,1
злак,1,,,чIа́ра,native,,,,,,,,,,,,,,,,,1
злить,1,,,,,,,,,,,с̄и'малах̄о̄рулъIа,native,,,,,,,,,1
"зло, вред",1,,,,,,,БИКЬ|Е'ЛЪЕР,native,,,,,,,,,,,,,1
"зло, плохой поступок",1,,,,,,,,,,,,,ТӀУ,native,,,,,,,1
злоба,1,,,,,,,,,,,с̄и'ми,native,,,,,,,,,1
злобный,2,,,,,,,,,,,с̄има'лIи,native,,,,,,,,,1
зловещий,1,,,,,,,,,,,,,ТӀУЛЛӀИ,native,,,,,,,1
зловонный,1,,,,,,,,,,,шваᴴ̄'да/б/е,native,,,,,,,,,1
"зловредный, злопамятный, нечистый, злорадный",1,,,,,,,,,,,,,РОКӀОКЪГОРГУ,native,,,,,,,1
злодейство,1,,,,,,,,,хIара́мзатлъи,arab,,,,,,,,,,,1
"злой, сердитый человек",1,,,,,,,,,,,,,ЗАРАКАТ,native,,,,,,,1
злокачественная болезнь,1,,,,,,,,,тала́в,native,,,,,,,,,,,1
злонамеренный,1,,,,,,,,,сура́блIи,native,,,,,,,,,,,1
злопамятность,1,Б/́ИЩАР,native,,,,,,,,,,,,,,,,,,,1
злополучный день,1,,,,,,,,,,,,,,,АХИРАРБА'Г|,arab,,,,,1
злопыхательница,1,,,,,,,,,,,,,,,,,,,ДУДУКЪУ́,native,1
злопыхательница (перен.),1,,,,,,,,,,,,,,,,,ДУ̀ДУКЪ,native,,,1
злорадный,1,,,,,,,,,су́рари,native,,,,,,,,,,,1
злорадный смех,1,,,,,,,,,,,,,,,,,КIИР-КIИР,native,,,1
"злословить, осуждать, порочить",1,,,,,,,КА'К/А¯ЛЪА,native,,,,,,,,,,,,,1
злоупотреблять,1,,,,,,,,,гьа́гъади-бе́гъади гьи,native,,,,,,,,,,,1
злюка,1,,,,,,,,,,,,,,,,,,,ХЪӮ̀ЧА,native,1
злюка (перен.),1,,,,,,,,,,,,,,,,,ХЪОД,native,,,1
злющий,1,,,,,,,,,ссима́лъи,native,,,,,,,,,,,1
змея,2,,,,,,,,,,,,,БЕРКУЗИ,native,,,,,,,1
змея (не ядовитая),1,,,,,,,БОЛЪО'Н,native,,,,,,,,,,,,,1
знак,3,,,,,,,,,изначо́к,rus,,,,,,,,,,,1
"знак, намек, метка",1,,,,,,,,,,,,,ИШАРА,arab,,,,,,,1
"знак, примета, чудо",1,,,,,,,,,,,,,АЛАМАТИ,arab,,,,,,,1
"знак, прицел, цель, прицеливание, мушка",1,,,,,,,,,,,,,ИШАН,native,,,,,,,1
знакомец,1,,,,,,,,,гьа́гъо-ве́то гье́кIва,native,,,,,,,,,,,1
знакомиться,1,,,,,,,,,,,,,ЦӀИННИГЬАКЪГИДУ,native,,,,,,,1
"знакомство, куначество",1,,,,,,,,,,,,,ЦӀИННИГЬАКЪГОР,native,,,,,,,1
знамение,1,,,,,,,,,,,с̄и'гилъе,native,,,,,,,,,1
знаменитый,1,,,,,,,,,,,,,ЦӀЦӀЕРБУЛОМ,native,,,,,,,1
"знаменитый, славный, известный",1,,,,,,,,,,,,,МАШГЬУР,arab,,,,,,,1
"знамя, флаг",1,,,,,,,БАЙРА'ХЪ,arab (<turk),,,,,,,,,,,,,1
"знание, представление о ком-чем-л.",1,,,,,,,,,,,,,,,,,,,Б/ЍЙАР,native,1
"знание, сознание",1,,,,,,,,,,,,,БИЧӀЧӀИ,native,,,,,,,1
знать,2,,,,,,,,,,,,,,,,,ИЪИ̅́ЛА,native,,,1
"знать, быть известным, иметь представление",1,,,,,,,Б/И'ЪА/ЛЪА,native,,,,,,,,,,,,,1
"знать, узнать",1,,,,,,,,,,,,,ЦӀИННУ,native,,,,,,,1
знаться,1,,,,,,,,,регъиха́л рукIи́,native,,,,,,,,,,,1
знахарство,1,,,,,,,,,а́нсирлъи,native,,,,,,,,,,,1
знахарь,2,,,,,,,,,а́нси,native,,,,,,,,,,,1
значащий,1,,,,,,,,,магIна́лIи,arab,,,,,,,,,,,1
значение,2,,,,,,,,,,,ма'гIна,arab,,,,,,,,,1
значит (вводное слово),1,,,,,,,,,,,гьаᴴ̄гьаᴴ',native,,,,,,,,,1
значительное количество,1,,,,,ИНТТŌЛА,native,,,,,,,,,,,,,,,1
значок на груди,1,,,,,,,,,,,,,,,,,ЧИН,native,,,1
"знающий, гадальщик, гадалка",1,,,,,,,,,,,,,ЦӀИНЦӀИЛ,native,,,,,,,1
знобить,1,,,,,,,,,замазди́ла\лъи,native,,,,,,,,,,,1
зной,2,,,,,,,,,,,б/и'же,native,,,,,,,,,1
зной,1,,,,,,,АГЬА'Й,native,,,,,,,,,,,,,1
"зной, жара",1,,,,,,,ГЬАЙ,native,,,,,,,,,,,,,1
"зоб для образования сыра и брынзы из молока, зоб, сычуг",1,,,,,,,,,,,,,РЕБКЬУ,native,,,,,,,1
золение,1,,,,,,,,,су́ра гьи,native,,,,,,,,,,,1
золотая или серебряная бумага,1,,,,,,,,,,,,,ВАРАКЪИ,native,,,,,,,1
золотой,2,,,,,,,,,,,,,,,,,,,МИСÉЙИЛІ’А,native,1
золотой цвет,1,,,,,,,,,,,,,МИСИДИЛӀИ БОСО,native,,,,,,,1
зональный,1,,,,,,,,,зо́на,native,,,,,,,,,,,1
зоология,1,,,,,,,,,зооло́ги,rus,,,,,,,,,,,1
зоотехник,1,,,,,,,,,заате́хник,rus,,,,,,,,,,,1
зрелость,2,,,,,,,,,балу́гъир,arab,,,,,,,,,,,1
"зрелость, зенит",1,,,,,,,,,,,,,ЗАВАЛЛЪИР,native,,,,,,,1
зрелый,2,,,,,,,,,,,,,,,,,,,КАМИ́ЛА/Б,arab,1
зрелый (о зернах),1,,,,,Б/ЕЦIИБУ́,native,,,,,,,,,,,,,,,1
"зрелый, взрослый",1,,,,,,,,,,,,,БАЛУХЪИ,arab,,,,,,,1
"зрелый, свежий",1,,,,,,,,,,,,,ЗАВАЛ,native,,,,,,,1
зреть,1,,,,,,,,,б=игъи́,native,,,,,,,,,,,1
зритель,1,,,,,,,,,зири́тел,native,,,,,,,,,,,1
"зрячий, светлый",1,,,,,,,,,,,,,КВАНАР,native,,,,,,,1
зрячим стать,1,КВАᴴЧIÁЛГЬИ/ЛА,native,,,,,,,,,,,,,,,,,,,1
зуб (коренной),1,,,,,,,,,,,гъве'цĪи,native,,,,,,,,,1
зуб молочный,1,,,,,,,,,,,чи'хъо,native,,,,,,,,,1
зуб передний,1,,,,,,,,,,,чи'ло,native,,,,,,,,,1
зуб по-детски,1,,,,,,,,,,,,,ТӀИКЪГИ,native,,,,,,,1
"зуб чесалки, расчески",1,,,,,,,,,,,,,МИКЪГИ,pers,,,,,,,1
зубец пилы,1,,,,,,,САЛЕ',native,,,,,,,,,,,,,1
зубило,1,,,,,,,,,,,,,РАКЪИРАДИБ,native,,,,,,,1
зубило,2,,,,,,,,,лIини́,native,,,,,,,,,,,1
зубриться,1,,,,,,,,,,,,,,,,,КЪИКЪИ̅НА,native,,,1
зудение,3,,,зунзу́ри,native,,,,,,,,,,,,,,,,,1
зудение,1,,,,,,,,,,,,,,,,,,,ЗУЗУ́РИ,native,1
"зудеть, онеметь, облежать, оцепенеть",1,,,,,,,,,,,,,ССОБОННУ,native,,,,,,,1
зулкарнай,1,,,,,,,,,,,,,,,,,,,ЗУЛКЪАРНÁЙ,arab,1
зуль-хиджа,1,ЗУЛХÍИДЖА,native,,,,,,,,,,,,,,,,,,,1
зулька’да,1,З́УЛКЪАГIИДА,arab,,,,,,,,,,,,,,,,,,,1
Зумруд,1,,,,,ЗУМРУ́Т/И,arab,,,,,,,,,,,,,,,1
Зумруд (имя собств. женское),1,ЗУМР́УД,arab,,,,,,,,,,,,,,,,,,,1
"зурна, свирель, примитивная зурна",1,,,,,,,,,,,,,ЗУНЗУЛ,native,,,,,,,1
зурнач,1,,,,,,,ЗУ'РМИХЪАН,pers,,,,,,,,,,,,,1
"зурнач, зурнист",1,,,,,,,,,,,,,ЗУНУРАЧИ,pers,,,,,,,1
зычный,2,,,зи́рзирисахоб,native,,,,,,,,,,,,,,,,,1
зычный,1,,,,,ЗИ́РЗИСАБУ,native,,,,,,,,,,,,,,,1
зябкий,1,,,,,,,,,в=агъуших=о́,native,,,,,,,,,,,1
"зять (муж дочери, сестры), жених",1,,,,,,,,,,,,,НУСО,native,,,,,,,1
и,1,ВА,arab,,,,,,,,,,,,,,,,,,,1
и,2,,,,,-ЛА,native,,,,,,,,,,,,,,,1
и вправду,1,,,гьицIцIи́да,native,,,,,,,,,,,,,,,,,1
и прочее,1,,,,,,,,,,,,,,,,,КЪА̅ЙЛI,native,,,1
и тот,1,,,го́/бла,native,,,,,,,,,,,,,,,,,1
и этот и тот,1,,,га́/б/ла,native,,,,,,,,,,,,,,,,,1
ибо,1,,,,,,,,,э́питалу кьа́ла,native,,,,,,,,,,,1
ибхва́б,1,,,иха́б,arab,,,,,,,,,,,,,,,,,1
"ива, верба, ракита",1,,,,,,,,,,,,,ГЬИНЦӀЦӀИР,native,,,,,,,1
иван-чай,1,,,,,ГIУ́ЙЧАЙ,native,,,,,,,,,,,,,,,1
иванчай,1,,,гIу́йчай,rus,,,,,,,,,,,,,,,,,1
ивовые прутья,1,,,,,,,,,жо́ла,native,,,,,,,,,,,1
игла,4,,,бе́жун,native,,,,,,,,,,,,,,,,,1
"игла колоса, часть колоса",1,,,,,,,,,,,,,КЬУНА,native,,,,,,,1
"игла, иголка",1,,,,,,,БЕ'ЖУН,native,,,,,,,,,,,,,1
игнорировать,1,,,,,,,,,гIада́хъ,native,,,,,,,,,,,1
игольное ушко,1,,,,,,,,,,,,,,,,,,,РУ́ЧI̅А,native,1
игорный,1,,,,,,,,,рагьиха́б,native,,,,,,,,,,,1
игра “третий лишний”,1,,,,,,,Ч¯|ВА'РДОБ¹,native,,,,,,,,,,,,,1
игра (в альчики),1,ТIÁНАР,native,,,,,,,,,,,,,,,,,,,1
игра (в бабки),1,ТIÁТIАНАР¹,native,,,,,,,,,,,,,,,,,,,1
игра (во что-то),1,,,,,,,,,,,б/олIе',native,,,,,,,,,1
игра (местная ботлихская игра).,1,,,,,,,,,баргъосар,native,,,,,,,,,,,1
игра в бейсбол,1,,,,,,,БО'ГЪЕ-Ч¯|ВАРДО'Б,native,,,,,,,,,,,,,1
игра в виде шашек,1,,,,,,,БУРЦ¯|УᴴДИ,native,,,,,,,,,,,,,1
игра в виде шашек на камне с расчерченным квадратом,1,,,,,,,,,,,,,,,,,МУСЕХЪВАДАЛАБ,native,,,1
игра в виде шашек с расчерченным квадратом на камне,1,,,,,,,,,,,,,,,,,,,ÁГЪАЛIА,native,1
игра в воде,1,,,,,,,,,къудо́сар,native,,,,,,,,,,,1
игра в камешки,1,,,,,,,,,,,,,ЧӀИЧӀОМЛӀО,native,,,,,,,1
"игра в камни, заключающаяся в собирании камня камнем",1,,,,,,,,,,,,,ГЪУЛИКIИ,native,,,,,,,1
игра в карты,1,,,,,,,,,,,,,ПАРЛӀО,native,,,,,,,1
игра в мяч,1,,,,,,,,,,,,,ТОРГЬОЛЛӀО,native,,,,,,,1
игра в ножи,1,,,,,,,,,,,,,БЕСУМАЛӀО,native,,,,,,,1
игра в подбрасывание куска овчины,1,,,,,,,,,,,па'ра,native,,,,,,,,,1
игра в чижик,1,,,,,,,,,,,,,ГАЛЛӀО,native,,,,,,,1
игра в шашки,1,,,,,,,,,,,,,ТӀАМА,native,,,,,,,1
игра во что-л.,2,,,,,,,,,,,,,,,,,,,ЧIАЪÁР,native,1
игра группы детей цепочкой,1,,,,,,,,,,,,,КЪУРРУКЪАВ,native,,,,,,,1
игра на барабане,1,,,,,,,,,,,кьва'ре,native,,,,,,,,,1
игра на зурне и барабане,1,,,зурма́-къали,pers,,,,,,,,,,,,,,,,,1
игра на посиделках,1,,,,,,,,,,,,,,,,,,,ХIАСÁᴴДАЛА,native,1
игра наподобие «чур-чур»,1,,,,,,,,,э́кIусар,native,,,,,,,,,,,1
игра типа «казаки-разбойники»,1,,,,,,,,,хъаза́ни-пича́т,native,,,,,,,,,,,1
игра типа жмурок,1,,,,,,,,,гIайнус-майнус,native,,,,,,,,,,,1
"игра, заключающаяся в переходе друг друга под руками",1,,,,,,,,,,,,,ИЧИЛГИДАЛ,native,,,,,,,1
играет,1,,,,,,,,,,,,,РОХОДАЛЛӀО,native,,,,,,,1
игральные карты,1,,,,,,,КА'ГЪАТ,native,,,,,,,,,,,,,1
играный,1,,,,,,,,,рагьа́б,native,,,,,,,,,,,1
играть,4,ТIÁНИ/ЛА,native,,,,,,,,,,,,,,,,,,,1
играть,6,,,,,,,,,рагьи,native,,,,,,,,,,,1
играть,3,,,,,,,,,,,,,,,,,,,К̅ВÁК̅В/ĀЙЛЪ’А,native,1
играть (в бабки),1,ТIАТIÁНИ/ЛА¹,native,,,,,,,,,,,,,,,,,,,1
играть (в местную ботлихскую игру),1,,,,,,,,,баргъо́са\лъи,native,,,,,,,,,,,1
играть (во что-либо),1,,,,,,,,,,,б/олIу'/рулъIа,native,,,,,,,,,1
играть в «гибчи»,1,,,,,,,,,гIибчIиса\лъи́,native,,,,,,,,,,,1
играть в «чур»,1,,,,,,,,,хIамчосалъи,native,,,,,,,,,,,1
играть в альчики,1,,,пе́кIиса/лъи,native,,,,,,,,,,,,,,,,,1
играть в воде,1,,,,,,,,,къудо́са\лъи,native,,,,,,,,,,,1
играть в камешки,1,,,,,,,,,дагъа́басалъи,native,,,,,,,,,,,1
играть в камушки,1,,,,,,,,,чIиркъисалъи́,native,,,,,,,,,,,1
играть в лото,1,,,,,,,,,лато́са\лъи,rus,,,,,,,,,,,1
играть в лямки,1,,,,,,,,,ла́нгаса\лъи,native,,,,,,,,,,,1
играть в мячик,1,,,,,,,,,гIурусалъи,native,,,,,,,,,,,1
играть в рога,1,,,,,,,,,,,,,БАЧЕШДУ,native,,,,,,,1
играть в счетные палочки,1,,,,,,,,,укIисалъи,native,,,,,,,,,,,1
играть в счётные палочки,1,,,,,,,,,чукIисалъи,native,,,,,,,,,,,1
играть в футбол,1,,,,,,,,,пудбо́л рагьи́,rus,,,,,,,,,,,1
играть в чижика,1,,,,,,,,,ло́кIиса\лъи,native,,,,,,,,,,,1
играть во что-л.,1,,,,,,,,,,,,,,,,,,,ЧIḔЛЪ’А,native,1
играть на балалайке,1,,,балала́йка,rus,,,,,,,,,,,,,,,,,1
играть на барабане,2,,,,,,,,,,,,,,,,,КЬА̅ЛА²,native,,,1
играть на духовом муз. инструменте,1,,,,,,,,,пу́ди,native,,,,,,,,,,,1
играть на зурне,1,,,,,,,,,сур пуди,native,,,,,,,,,,,1
играть на музыкальном инструменте,1,,,,,Б/ЕЧИ́ᴴ,native,,,,,,,,,,,,,,,1
играть с кем-л.,1,,,,,,,,,,,,,,,,,,,Б/АГЬÁКIВ/ĀЙЛЪ’А,native,1
играющий,1,,,,,,,,,вагьихо́,native,,,,,,,,,,,1
"играющий, балующийся",1,,,,,,,,,,,,,РОХОДАЛЛӀОССИ,native,,,,,,,1
игрушечное ружье,1,,,,,,,,,,,,,,,,,ТУБ,native,,,1
"игрушка, сделанная из растений типа пушинок из альпийских лугов",1,,,,,,,,,тIаргъус-маргъус,native,,,,,,,,,,,1
"идеальный, ладный",1,,,,,,,БОЪО'-БУК|УН,native,,,,,,,,,,,,,1
идёт сильный снег,1,,,,,,,,,имуди́ла вашащу́дила са́нду бигьата́ и́да,native,,,,,,,,,,,1
иди (ты) в тартарары,1,ДЖАГЬА̄НÁБĀ,arab,,,,,,,,,,,,,,,,,,,1
иди сюда,1,,,,,,,,,,,,,ГЬОБАРО,native,,,,,,,1
иди ты в тартарары,1,,,,,,,,,,,,,,,,,,,ДЖАГЬÁᴴДАМАХЪА,arab,1
идиот,1,,,,,,,,,къаби́хI,arab,,,,,,,,,,,1
идиотизм,1,,,,,,,,,къаби́хIлъи,arab,,,,,,,,,,,1
"идол, статуэтка",1,,,,,,,ЧИБ/А'²,native,,,,,,,,,,,,,1
идти,3,,,,,,,,,,,,,,,,,МУНА,native,,,1
идти бесперебойным потоком,1,,,,,,,,,,,чĪо̄'рулъIа,native,,,,,,,,,1
идти вслед,1,,,,,,,,,реху́тIу,native,,,,,,,,,,,1
идти на поводу,1,,,,,,,,,,,ба'до̄/рулъIа,native,,,,,,,,,1
идти на пользу,1,,,,,,,,,,,,,,,,,ХIАЛАЛЛЪЛА,arab,,,1
идти наверх,1,,,,,,,,,гьала́хинду на́ъи,native,,,,,,,,,,,1
идти по одному,1,,,,,,,,,це-це́в ви́кку ваъи́,native,,,,,,,,,,,1
"идти, ходить",1,,,,,,,Б/ОЪАᴴ/ЛЪА',native,,,,,,,,,,,,,1
"идти, ходить, проходить, ехать",1,,,,,,,Б/ОЪАᴴ/ЛЪА',native,,,,,,,,,,,,,1
идти( об осадках ),1,,,багьагь/и́,native,,,,,,,,,,,,,,,,,1
идущие один за другим,1,,,,,,,,,б=еху́тIу-ссе́ссуб,native,,,,,,,,,,,1
"иждивение, содержание",1,,,,,,,,,,,,,НАНАКЪГА,arab,,,,,,,1
из,1,Б/ÁX̄А²,native,,,,,,,,,,,,,,,,,,,1
из богатой семьи,1,,,,,,,,,уздена=в,native,,,,,,,,,,,1
из всех сил,1,ГЬИНИЛ̄ЪÁНА̄СМУХА,native,,,,,,,,,,,,,,,,,,,1
из года в год,1,,,,,,,,,реши́да-ни́цIцIу,native,,,,,,,,,,,1
из жалости,1,,,гу́рхIа,native,,,,,,,,,,,,,,,,,1
из рук в руки,1,,,ква́дуку-квада,native,,,,,,,,,,,,,,,,,1
из чего,1,,,лълъу́нлъи,native,,,,,,,,,,,,,,,,,1
из-за,3,,,,,,,,,,,,,,,,,,,САБÁЛЪО,native,1
из-за чего-то,1,,,,,,,,,,,чӯ'гус̄а,native,,,,,,,,,1
из-за чего-то; почему-то,1,,,,,,,ГЬЕДИЛ¯Ъ¯ЙАГАЛ-ИДВАРДА,native,,,,,,,,,,,,,1
из-под керосина,1,,,,,,,,,,,,,НАБТИЧӀУБА,native,,,,,,,1
из-под льна,1,,,,,,,,,,,,,ТУРТИЧӀУБА,native,,,,,,,1
из-под масла,1,,,,,,,,,,,,,ЛӀУРЛӀОЧӀУБА,native,,,,,,,1
из-под меда,1,,,,,,,,,,,,,ГЬУНЦӀЦӀИЧӀУБА,native,,,,,,,1
из-под творога,1,,,,,,,,,,,,,ИСОЧӀУБА,native,,,,,,,1
избавитель,1,,,,,,,,,ворчIа́йхо гье́кIва,native,,,,,,,,,,,1
избавиться,1,,,,,,,,,в=орчIи́,native,,,,,,,,,,,1
избавлять,1,,,,,,,,,,,х̄вас̄а'гурулъIа,native,,,,,,,,,1
избавляться,1,Б/́УХIУ/ЛА,native,,,,,,,,,,,,,,,,,,,1
избавляться от чего-л.,1,,,,,,,,,,,,,,,,,,,Б/У́Т/ИЛЪ’А,native,1
избалованный,2,,,,,,,,,гогьа́ймало,native,,,,,,,,,,,1
